area,screen,group,control,type,what_it_does,side_effects_or_notes,visibility
Media & Labs,PrintLab,PrintLab,Canvas,tool,Freeform design,,
Media & Labs,PrintLab,PrintLab,Rows,number,Set tile rows,,
Media & Labs,PrintLab,PrintLab,Columns,number,Set tile columns,,
Media & Labs,PrintLab,PrintLab,Gap,number,Set tile gap,,
Media & Labs,PrintLab,PrintLab,Fit,select,cover/contain/stretch,,
Media & Labs,PrintLab,PrintLab,Poster wide,number,Set horizontal sheets,,
Media & Labs,PrintLab,PrintLab,Poster tall,number,Set vertical sheets,,
Media & Labs,PrintLab,PrintLab,Show numbers,checkbox,Show sheet numbers,,
Media & Labs,PrintLab,PrintLab,Orientation,select,Portrait/landscape,,
Media & Labs,PrintLab,PrintLab,Image position,select,top/side/background,,
Media & Labs,PrintLab,PrintLab,Include image,checkbox,Include zine image,,
Media & Labs,PrintLab,PrintLab,Margin preset,select,tight/normal/wide/custom,,
Media & Labs,PrintLab,PrintLab,Canvas zoom,control,Change zoom,,
Media & Labs,PrintLab,PrintLab,Undo,button,Undo canvas change,,
Media & Labs,PrintLab,PrintLab,Redo,button,Redo canvas change,,
Media & Labs,PrintLab,PrintLab,Font upload,file,Add print font,TTF/OTF/WOFF/WOFF2,
Media & Labs,PrintLab,PrintLab,Remove background / segmentation,action,Run segmentation,Requires configured service,
Media & Labs,PrintLab,PrintLab,Export/print output,action,Produce output,Inspect final result,
Media & Labs,AudioLab,AudioLab,New,button,Create AudioLab project,,
Media & Labs,AudioLab,AudioLab,Project card,button,Open project,,
Media & Labs,AudioLab,AudioLab,Import source audio,file,Add source,,
Media & Labs,AudioLab,AudioLab,Record,button,Record microphone,Permission/runtime required,
Media & Labs,AudioLab,AudioLab,Source Bin → Add to track,button,Place source on track,,
Media & Labs,AudioLab,AudioLab,Play/seek,transport,Navigate audio,,
Media & Labs,AudioLab,AudioLab,Waveform selection,canvas,Select time range,,
Media & Labs,AudioLab,AudioLab,Split clip,button,Split clip,,
Media & Labs,AudioLab,AudioLab,Delete clip,button,Delete clip,Source preserved,
Media & Labs,AudioLab,AudioLab,Move clip to track,action,Reassign clip,,
Media & Labs,AudioLab,AudioLab,Add effect,button,Add effect,,
Media & Labs,AudioLab,AudioLab,Add preset,button,Add effect preset,,
Media & Labs,AudioLab,AudioLab,Toggle effect,button,Enable/disable effect,,
Media & Labs,AudioLab,AudioLab,Update effect,fields,Edit effect params,,
Media & Labs,AudioLab,AudioLab,Move effect,button,Reorder effect,,
Media & Labs,AudioLab,AudioLab,Delete effect,button,Remove effect,,
Media & Labs,AudioLab,AudioLab,Transcript mode,select,Plain/timestamped,,
Media & Labs,AudioLab,AudioLab,Import transcript,file,Import TXT/SRT/VTT,SRT/VTT parsed,
Media & Labs,AudioLab,AudioLab,Export transcript,button,Export TXT/VTT,,
Media & Labs,AudioLab,AudioLab,Add marker,button,Add marker at playhead,,
Media & Labs,AudioLab,AudioLab,Marker fields,fields,Edit marker,,
Media & Labs,AudioLab,AudioLab,Delete marker,button,Remove marker,,
Media & Labs,AudioLab,AudioLab,Render final episode,button,Render mix,,
Media & Labs,AudioLab,AudioLab,Download rendered episode,button,Download render,,
Media & Labs,AudioLab,AudioLab,Upload master,button,Upload public master,,
Media & Labs,AudioLab,AudioLab,Create delivery audio,button,Encode delivery,,
Media & Labs,AudioLab,AudioLab,Upload delivery,button,Upload public delivery,,
Media & Labs,AudioLab,AudioLab,Copy public URL,button,Copy public URL,,
Media & Labs,AudioLab,AudioLab,Open public URL,button,Open public audio,,
Media & Labs,AudioLab,AudioLab,Run delivery checks,button,Check delivery/RSS readiness,,
Media & Labs,AudioLab,AudioLab,Create episode draft,button,Create/update podcast draft,Carries transcript/markers/media,
